question_id,wrong_ans,correct_ans,question,explanation
0," ""하던지 말던지"""," ""하든지 말든지"""," ""일을 [하든지 말든지] 마음을 정해야지."""," '-던'은 과거에 일어난 일을 회상하여 말할 때 쓰는 어미입니다. 따라서 '하던지 말던지'는 문법적으로 맞지 않습니다."
1," ""깨끗히"""," ""깨끗이"""," ""방을 [깨끗이] 유지하는 것이 중요하다.""", '깨끗이'는 '?' 불규칙 용언이다. 어간 끝소리가 '?'인 경우 모음으로 시작하는 어미와 결합할 때 그 '?'이 탈락한다.
2," ""넓직한"""," ""널찍한"""," ""[널찍한] 공간이 있어서 아이들이 뛰어놀기 좋다."""," ‘널찍하다’는 형용사로, 어간 ‘널찍하-’에 관형사형 어미 ‘-?’이 붙어 활용한 형태가 ‘널찍한’이다."
3," ""단언컨데"""," ""단언컨대"""," ""[단언컨대] 이 방법이 가장 효과적이다.""", '단언하건대'가 줄어든 말은 '단언컨대'입니다.
4," ""눈꼽"""," ""눈곱"""," ""감기에 걸리면 [눈곱]이 자주 생겨."""," '눈곱'은 ‘눈’과 ‘곱’이 결합한 말로, 여기서 ‘곱’은 부스럼이나 헌데에 끼는 고름 모양의 물질을 가리킨다. 따라서 소리가 비슷한 다른 단어와 혼동하지 않도록 주의해야 한다."
5," ""돋구네"""," ""돋우네"""," ""이거 정말 식욕을 [돋우네]."""," ‘돋구다’는 안경의 도수 따위를 더 높게 하다라는 뜻이고, ‘돋우다’는 위로 끌어 올려 도드라지거나 높아지게 하다는 뜻이다."
6," ""말장난같은"""," ""말장난 같은"""," ""이번에 새로 나온 영화는 [말장난 같은] 요소를 많이 포함하고 있다."""," '말장난'은 명사이고, '같은'은 형용사이다. 따라서 두 단어는 띄어 써야 한다."
7," ""몇일"""," ""며칠"""," ""프로젝트 마감일이 [며칠] 남지 않았다."""," '몇 일'과 '며칠' 중에서 어떤 것이 맞는가 하는 문제는 한글 맞춤법 규정 제27항[붙임 2]에 따르면 ""어원이 분명하지 아니한 것은 원형을 밝히어 적지 아니한다.""라고 되어 있다. 따라서 '몇 월'로 적어야 한다."
8," ""무릎쓰고"""," ""무릅쓰고""","""부끄러움을 [무릅쓰다]."""," 무릎은 넓적다리와 정강이를 잇는 부분을 말하는데, 이 무릎을 쓸 때는 무릅이 아니라 무릎이 맞습니다. 그러나 '실례를 무릅쓰고', '실례를 무릅쓰다' 라고 할 때는 '무릅쓰다'가 맞습니다."
9," ""바램"""," ""바람"""," ""나의 오랜 [바람]이 드디어 이루어졌다.""", ‘바라다’는 동사로 “생각이나 바람대로 어떤 일이나 상태가 이루어지거나 그렇게 되었으면 하고 생각하다”라는 뜻이다. 따라서 ‘바라다’에서 파생된 명사형은 ‘바람’이 된다.
